Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Race,Value
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,Unknown,1079
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,Unknown,164871
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,Unknown,14302
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,Unknown,6212
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,Unknown,9548
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,Unknown,6163
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,Unknown,5250
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,Unknown,180045
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,Unknown,17784
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,Unknown,5140
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,Unknown,2946
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,Unknown,398
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,Unknown,33
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,0 encounters,Unknown,121247
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,1 encounter,Unknown,36777
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,2 encounters,Unknown,17382
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,Unknown,20052
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,Unknown,7932
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,12+ encounters,Unknown,2956
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,Unknown,172654
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,Unknown,8038
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,Unknown,5987
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,Unknown,7559
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,Unknown,4866
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,Unknown,7242
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,INFECTIOUS DISEASE,Unknown,28443
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,ENDOCRINE/METABOLIC/NUTRITIONAL,Unknown,92282
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,CARDIOVASCULAR,Unknown,77850
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,RESPIRATORY,Unknown,37754
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,GASTROINTESTINAL,Unknown,49379
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,URINARY,Unknown,14604
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,REPRODUCTIVE HEALTH,Unknown,28816
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,BREAST,Unknown,1524
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,CANCER,Unknown,6956
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,HEMATOLOGIC/IMMUNOLOGIC,Unknown,9193
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,MUSCULOSKELETAL,Unknown,86193
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,NEUROLOGIC,Unknown,28690
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,MENTAL HEALTH/SUD,Unknown,51212
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,SENSE ORGAN,Unknown,55160
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,DENTAL,Unknown,7984
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,DERMATOLOGIC,Unknown,28089
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,OTHER,Unknown,76631
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS,Unknown,535
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,Unknown,143
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,Unknown,5570
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,Unknown,4297
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,Unknown,25891
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,Unknown,64160
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Overweight/Obesity,Unknown,28247
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders,Unknown,8155
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,Unknown,628
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,Unknown,6708
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",Unknown,16063
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,Unknown,3335
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Hypertension,Unknown,64022
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Chest Pain/Angina,Unknown,6425
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Acute MI,Unknown,502
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Coronary Artery Disease,Unknown,9575
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Heart Failure,Unknown,2608
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Valvular Disease,Unknown,1958
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,Unknown,2308
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,Unknown,4636
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,Unknown,1438
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,Unknown,2202
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,Unknown,1115
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,Unknown,535
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,Unknown,1171
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,Unknown,3871
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,Unknown,5648
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,Unknown,6027
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Asthma,Unknown,6144
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Sarcoidosis,Unknown,352
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Pneumonia,Unknown,1155
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,Unknown,10132
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,Unknown,14412
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",Unknown,7560
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,Unknown,4786
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,Unknown,22861
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,Unknown,1463
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,Unknown,891
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,Unknown,2418
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,Unknown,2537
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",Unknown,8498
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,Unknown,3346
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,Unknown,861
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,Unknown,4903
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hernia,Unknown,3728
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,Unknown,4544
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,Unknown,3649
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,Unknown,6231
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,Unknown,895
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,Unknown,486
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,Unknown,5825
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Renal failure or Nephropathy,Unknown,3877
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Calculus of urinary tract,Unknown,2520
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Hematuria,Unknown,2298
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Kidney/Ureter Diseases - Other,Unknown,1177
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis),Unknown,2078
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Incontinence,Unknown,1441
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Symptoms - Other,Unknown,2368
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Conditions - Other,Unknown,2280
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Male genital disorders,Unknown,9747
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,STIs,Unknown,1458
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Vaginitis/ cervicitis/ and other pelvic inflammatory conditions,Unknown,776
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Cervical Dysplasia/ASCUS,Unknown,336
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Endometriosis,Unknown,188
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Menstrual disorders,Unknown,1239
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Fibroids,Unknown,437
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,"Ovarian cyst at least once, FY13",Unknown,216
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Polycystic ovaries,Unknown,161
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Benign Gynecologic Neoplasms - Other,Unknown,124
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Prolapse of female genital organs,Unknown,103
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Female Reproductive Organ Disorders - Other,Unknown,1534
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Sexual Dysfunction,Unknown,11757
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Contraceptive Care Management,Unknown,1488
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Infertility,Unknown,162
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Menopausal disorders,Unknown,1444
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Miscarriage,Unknown,43
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Ectopic pregnancy,Unknown,12
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Pregnancy or Delivery - Normal,Unknown,392
